Time Stamp, Noise Level, Humidity, Temperature (*C)
2/15 16:35:8,24.49,37.00,19.00
2/15 16:35:9,24.17,37.00,19.00
2/15 16:35:10,25.14,37.00,19.00
2/15 16:35:11,24.49,37.00,19.00
2/15 16:35:12,23.85,37.00,19.00
2/15 16:35:14,23.20,37.00,19.00
2/15 16:35:16,25.14,37.00,19.00
2/15 16:35:17,24.17,37.00,19.00
2/15 16:35:18,25.14,37.00,19.00
2/15 16:35:19,24.49,37.00,19.00
2/15 16:35:20,24.17,37.00,19.00
2/15 16:35:21,23.53,37.00,19.00
2/15 16:35:23,24.17,37.00,19.00
2/15 16:35:24,25.14,37.00,19.00
2/15 16:35:25,25.14,37.00,19.00
2/15 16:35:26,24.17,37.00,19.00
2/15 16:35:27,24.49,37.00,19.00
2/15 16:35:28,24.49,37.00,19.00
2/15 16:35:30,23.53,37.00,19.00
2/15 16:35:31,24.49,37.00,19.00
2/15 16:35:32,24.49,37.00,19.00
2/15 16:35:33,23.53,37.00,19.00
2/15 16:35:35,23.85,37.00,19.00
2/15 16:35:36,24.17,37.00,19.00
2/15 16:35:37,24.17,37.00,19.00
2/15 16:35:38,24.17,37.00,19.00
2/15 16:35:39,24.17,37.00,19.00
2/15 16:35:40,24.17,37.00,19.00
2/15 16:35:42,24.81,37.00,19.00
2/15 16:35:43,23.85,37.00,19.00
2/15 16:35:44,23.85,37.00,19.00
2/15 16:35:45,24.17,37.00,19.00
2/15 16:35:46,24.81,37.00,19.00
2/15 16:35:47,24.49,37.00,19.00
2/15 16:35:49,24.49,37.00,19.00
2/15 16:35:50,24.17,37.00,19.00
2/15 16:35:51,24.49,37.00,19.00
2/15 16:35:52,24.49,37.00,19.00
2/15 16:35:53,24.49,37.00,19.00
2/15 16:35:54,24.49,37.00,19.00
2/15 16:35:55,23.85,37.00,19.00
2/15 16:35:56,24.49,37.00,19.00
2/15 16:35:57,24.81,37.00,19.00
2/15 16:35:58,24.81,37.00,19.00
2/15 16:35:59,25.14,37.00,19.00
2/15 16:36:1,24.49,37.00,19.00
2/15 16:36:2,24.49,37.00,19.00
2/15 16:36:3,24.17,37.00,19.00
2/15 16:36:4,23.53,37.00,19.00
2/15 16:36:5,24.17,37.00,19.00
2/15 16:36:6,24.49,37.00,19.00
2/15 16:36:8,24.49,37.00,19.00
2/15 16:36:9,24.49,37.00,19.00
2/15 16:36:10,23.85,37.00,19.00
2/15 16:36:11,24.49,37.00,19.00
2/15 16:36:12,24.17,37.00,19.00
2/15 16:36:14,24.49,37.00,19.00
2/15 16:36:15,23.85,37.00,19.00
2/15 16:36:16,24.49,37.00,19.00
2/15 16:36:17,24.81,37.00,19.00
2/15 16:36:18,24.17,37.00,19.00
2/15 16:36:20,24.49,37.00,19.00
2/15 16:36:21,24.17,37.00,19.00
2/15 16:36:22,23.85,37.00,19.00
2/15 16:36:23,24.49,37.00,19.00
2/15 16:36:24,24.81,37.00,19.00
2/15 16:36:25,24.81,37.00,19.00
2/15 16:36:27,24.49,37.00,19.00
2/15 16:36:28,24.17,37.00,19.00
2/15 16:36:29,24.49,37.00,19.00
2/15 16:36:30,24.49,37.00,19.00
2/15 16:36:31,25.14,37.00,19.00
2/15 16:36:32,24.81,37.00,19.00
2/15 16:36:34,25.46,37.00,19.00
2/15 16:36:35,23.53,37.00,19.00
2/15 16:36:36,24.81,37.00,19.00
2/15 16:36:37,23.53,37.00,19.00
2/15 16:36:38,23.85,37.00,19.00
2/15 16:36:39,23.85,37.00,19.00
2/15 16:36:40,24.49,37.00,19.00
2/15 16:36:41,24.81,37.00,19.00
2/15 16:36:42,24.81,37.00,19.00
2/15 16:36:43,24.17,37.00,19.00
2/15 16:36:44,24.49,37.00,19.00
2/15 16:36:46,24.17,37.00,19.00
2/15 16:36:47,24.49,37.00,19.00
2/15 16:36:48,23.53,37.00,19.00
2/15 16:36:49,24.49,37.00,19.00
2/15 16:36:50,24.81,37.00,19.00
2/15 16:36:51,23.85,37.00,19.00
2/15 16:36:53,23.85,37.00,19.00
2/15 16:36:54,24.17,37.00,19.00
2/15 16:36:55,24.81,37.00,19.00
2/15 16:36:56,24.81,37.00,19.00
2/15 16:36:57,24.17,37.00,19.00
2/15 16:36:58,24.49,37.00,19.00
2/15 16:36:59,24.49,37.00,19.00
2/15 16:37:0,24.17,37.00,19.00
2/15 16:37:1,24.49,37.00,19.00
2/15 16:37:2,24.81,37.00,19.00
2/15 16:37:3,24.49,37.00,19.00
2/15 16:37:5,23.20,37.00,19.00
2/15 16:37:6,24.49,37.00,19.00
2/15 16:37:7,24.17,37.00,19.00
2/15 16:37:8,24.17,37.00,19.00
2/15 16:37:9,24.49,37.00,19.00
2/15 16:37:10,24.81,37.00,19.00
2/15 16:37:12,24.81,37.00,19.00
2/15 16:37:13,24.49,37.00,19.00
2/15 16:37:14,24.81,37.00,19.00
2/15 16:37:15,24.17,37.00,19.00
2/15 16:37:16,23.53,37.00,19.00
2/15 16:37:17,23.20,37.00,19.00
2/15 16:37:19,24.81,37.00,19.00
2/15 16:37:20,24.49,37.00,19.00
2/15 16:37:21,23.53,37.00,19.00
2/15 16:37:22,24.49,37.00,19.00
2/15 16:37:23,24.17,37.00,19.00
2/15 16:37:25,24.49,37.00,19.00
2/15 16:37:26,24.49,37.00,19.00
2/15 16:37:27,23.85,37.00,19.00
2/15 16:37:28,24.49,37.00,19.00
2/15 16:37:29,24.81,37.00,19.00
2/15 16:37:31,24.49,37.00,19.00
2/15 16:37:32,24.49,37.00,19.00
2/15 16:37:33,23.85,37.00,19.00
2/15 16:37:34,24.81,37.00,19.00
2/15 16:37:35,24.17,37.00,19.00
2/15 16:37:36,24.49,37.00,19.00
2/15 16:37:38,23.85,37.00,19.00
2/15 16:37:39,24.17,37.00,19.00
2/15 16:37:40,23.85,37.00,19.00
2/15 16:37:41,24.49,37.00,19.00
2/15 16:37:42,23.85,37.00,19.00
2/15 16:37:43,24.17,37.00,19.00
2/15 16:37:45,24.81,37.00,19.00
2/15 16:37:46,24.49,37.00,19.00
2/15 16:37:47,24.17,37.00,19.00
2/15 16:37:48,24.17,37.00,19.00
2/15 16:37:50,24.49,37.00,19.00
2/15 16:37:51,24.49,37.00,19.00
2/15 16:37:52,24.49,37.00,19.00
2/15 16:37:53,24.17,37.00,19.00
2/15 16:37:54,24.17,37.00,19.00
2/15 16:37:55,24.49,37.00,19.00
2/15 16:37:57,24.49,37.00,19.00
2/15 16:37:58,24.81,37.00,19.00
2/15 16:37:59,24.49,37.00,19.00
2/15 16:38:0,24.49,37.00,19.00
2/15 16:38:1,24.81,37.00,19.00
2/15 16:38:2,24.17,37.00,19.00
2/15 16:38:4,25.14,37.00,19.00
2/15 16:38:5,24.81,37.00,19.00
2/15 16:38:6,24.49,37.00,19.00
2/15 16:38:7,23.53,37.00,19.00
2/15 16:38:8,24.81,37.00,19.00
2/15 16:38:9,24.81,37.00,19.00
2/15 16:38:10,24.81,37.00,19.00
2/15 16:38:11,23.85,37.00,19.00
2/15 16:38:12,24.49,37.00,19.00
2/15 16:38:13,24.49,37.00,19.00
2/15 16:38:14,24.17,37.00,19.00
2/15 16:38:16,24.17,37.00,19.00
2/15 16:38:17,24.17,37.00,19.00
2/15 16:38:18,24.49,37.00,19.00
2/15 16:38:19,23.53,37.00,19.00
2/15 16:38:20,24.17,37.00,19.00
2/15 16:38:21,24.17,37.00,19.00
2/15 16:38:23,24.49,37.00,19.00
2/15 16:38:24,24.81,37.00,19.00
2/15 16:38:25,23.85,37.00,19.00
2/15 16:38:26,24.81,37.00,19.00
2/15 16:38:27,24.49,37.00,19.00
2/15 16:38:28,24.81,37.00,19.00
2/15 16:38:30,24.81,37.00,19.00
2/15 16:38:31,24.81,37.00,19.00
2/15 16:38:32,24.81,37.00,19.00
2/15 16:38:33,25.14,37.00,19.00
2/15 16:38:35,24.81,37.00,19.00
2/15 16:38:36,23.85,37.00,19.00
2/15 16:38:37,23.85,37.00,19.00
2/15 16:38:38,25.14,37.00,19.00
2/15 16:38:39,24.49,37.00,19.00
2/15 16:38:40,24.17,37.00,19.00
2/15 16:38:42,24.81,37.00,19.00
2/15 16:38:43,24.49,37.00,19.00
2/15 16:38:44,24.17,37.00,19.00
2/15 16:38:45,24.81,37.00,19.00
2/15 16:38:46,24.17,37.00,19.00
2/15 16:38:47,24.49,37.00,19.00
2/15 16:38:49,22.88,37.00,19.00
2/15 16:38:50,24.17,37.00,19.00
2/15 16:38:51,24.81,37.00,19.00
2/15 16:38:52,24.49,37.00,19.00
2/15 16:38:53,24.17,37.00,19.00
2/15 16:38:55,24.17,37.00,19.00
2/15 16:38:56,24.49,37.00,19.00
2/15 16:38:57,24.49,37.00,19.00
2/15 16:38:58,24.49,37.00,19.00
2/15 16:38:59,24.49,37.00,19.00
2/15 16:39:1,24.49,37.00,19.00
2/15 16:39:2,24.49,37.00,19.00
2/15 16:39:3,24.17,37.00,19.00
2/15 16:39:4,24.17,37.00,19.00
2/15 16:39:5,24.17,37.00,19.00
2/15 16:39:6,24.49,37.00,19.00
2/15 16:39:8,24.49,37.00,19.00
2/15 16:39:9,23.85,37.00,19.00
2/15 16:39:10,24.49,37.00,19.00
2/15 16:39:12,24.17,37.00,19.00
2/15 16:39:13,24.49,37.00,19.00
2/15 16:39:14,24.81,37.00,19.00
2/15 16:39:16,24.81,37.00,19.00
2/15 16:39:17,24.49,37.00,19.00
2/15 16:39:18,24.49,37.00,19.00
2/15 16:39:19,24.17,37.00,19.00
2/15 16:39:21,24.17,37.00,19.00
2/15 16:39:22,23.53,37.00,19.00
2/15 16:39:23,24.17,37.00,19.00
2/15 16:39:24,25.14,37.00,19.00
2/15 16:39:25,24.81,37.00,19.00
2/15 16:39:26,24.17,37.00,19.00
2/15 16:39:28,24.17,37.00,19.00
2/15 16:39:29,23.85,37.00,19.00
2/15 16:39:30,23.85,37.00,19.00
2/15 16:39:31,24.17,37.00,19.00
2/15 16:39:32,24.17,37.00,19.00
2/15 16:39:33,24.81,37.00,19.00
2/15 16:39:35,24.81,37.00,19.00
2/15 16:39:36,24.49,37.00,19.00
2/15 16:39:37,24.17,37.00,19.00
2/15 16:39:38,24.17,37.00,19.00
2/15 16:39:39,23.85,37.00,19.00
2/15 16:39:40,23.53,37.00,19.00
2/15 16:39:41,23.53,37.00,19.00
2/15 16:39:42,23.85,37.00,19.00
2/15 16:39:43,24.17,37.00,19.00
2/15 16:39:44,24.17,37.00,19.00
2/15 16:39:45,24.17,37.00,19.00
2/15 16:39:47,25.14,37.00,19.00
2/15 16:39:48,24.17,37.00,19.00
2/15 16:39:49,24.81,37.00,19.00
