Time Stamp, Noise Level, Humidity, Temperature (*C)
2/15 17:35:24,24.49,37.00,19.00
2/15 17:35:26,24.81,37.00,19.00
2/15 17:35:27,24.17,37.00,19.00
2/15 17:35:28,24.17,37.00,19.00
2/15 17:35:29,23.20,37.00,19.00
2/15 17:35:31,25.14,37.00,19.00
2/15 17:35:32,24.81,37.00,19.00
2/15 17:35:33,24.49,37.00,19.00
2/15 17:35:34,24.49,37.00,19.00
2/15 17:35:35,24.17,37.00,19.00
2/15 17:35:36,24.17,37.00,19.00
2/15 17:35:38,24.17,37.00,19.00
2/15 17:35:39,24.81,37.00,19.00
2/15 17:35:40,24.49,37.00,19.00
2/15 17:35:41,25.14,37.00,19.00
2/15 17:35:42,24.17,37.00,19.00
2/15 17:35:43,24.49,37.00,19.00
2/15 17:35:45,23.20,37.00,19.00
2/15 17:35:46,24.81,37.00,19.00
2/15 17:35:47,24.17,37.00,19.00
2/15 17:35:48,23.85,37.00,19.00
2/15 17:35:49,23.85,37.00,19.00
2/15 17:35:51,24.81,37.00,19.00
2/15 17:35:52,25.14,37.00,19.00
2/15 17:35:53,24.49,37.00,19.00
2/15 17:35:54,24.49,37.00,19.00
2/15 17:35:55,24.17,37.00,19.00
2/15 17:35:57,25.14,37.00,19.00
2/15 17:35:58,24.17,37.00,19.00
2/15 17:35:59,24.17,37.00,19.00
2/15 17:36:0,24.17,37.00,19.00
2/15 17:36:1,24.49,37.00,19.00
2/15 17:36:2,24.17,37.00,19.00
2/15 17:36:4,24.81,37.00,19.00
2/15 17:36:5,24.81,37.00,19.00
2/15 17:36:6,24.81,37.00,19.00
2/15 17:36:7,24.49,37.00,19.00
2/15 17:36:8,25.14,37.00,19.00
2/15 17:36:9,23.85,37.00,19.00
2/15 17:36:10,23.85,37.00,19.00
2/15 17:36:11,24.81,37.00,19.00
2/15 17:36:12,24.49,37.00,19.00
2/15 17:36:13,24.17,37.00,19.00
2/15 17:36:14,24.81,37.00,19.00
2/15 17:36:16,24.81,37.00,19.00
2/15 17:36:17,24.17,37.00,19.00
2/15 17:36:18,22.88,37.00,19.00
2/15 17:36:19,24.49,37.00,19.00
2/15 17:36:20,24.49,37.00,19.00
2/15 17:36:21,23.85,37.00,19.00
2/15 17:36:23,24.17,37.00,19.00
2/15 17:36:24,24.17,37.00,19.00
2/15 17:36:25,24.81,37.00,19.00
2/15 17:36:26,24.49,37.00,19.00
2/15 17:36:27,25.14,37.00,19.00
2/15 17:36:28,23.85,37.00,19.00
2/15 17:36:30,24.81,37.00,19.00
2/15 17:36:31,22.88,37.00,19.00
2/15 17:36:32,24.81,37.00,19.00
2/15 17:36:33,24.49,37.00,19.00
2/15 17:36:34,24.49,37.00,19.00
2/15 17:36:35,24.49,37.00,19.00
