Time Stamp, Noise Level, Humidity, Temperature (*C)
2/15 15:34:56,24.17,38.00,17.00
2/15 15:34:57,23.53,38.00,17.00
2/15 15:34:58,24.49,38.00,17.00
2/15 15:35:0,24.49,38.00,17.00
2/15 15:35:1,23.53,38.00,17.00
2/15 15:35:2,24.17,38.00,17.00
2/15 15:35:3,23.85,38.00,17.00
2/15 15:35:4,24.17,38.00,17.00
2/15 15:35:5,23.53,38.00,17.00
2/15 15:35:6,24.49,38.00,17.00
2/15 15:35:7,25.14,38.00,17.00
2/15 15:35:8,23.53,38.00,17.00
2/15 15:35:9,24.49,38.00,17.00
2/15 15:35:10,24.81,38.00,17.00
2/15 15:35:11,24.81,38.00,17.00
2/15 15:35:12,24.81,38.00,17.00
2/15 15:35:13,24.17,38.00,17.00
2/15 15:35:14,24.81,38.00,17.00
2/15 15:35:15,24.49,38.00,17.00
2/15 15:35:16,24.49,38.00,17.00
2/15 15:35:17,24.49,38.00,17.00
2/15 15:35:18,25.46,38.00,17.00
2/15 15:35:19,24.81,38.00,17.00
2/15 15:35:20,24.49,38.00,17.00
2/15 15:35:21,24.81,38.00,17.00
2/15 15:35:22,24.17,38.00,17.00
2/15 15:35:23,22.56,38.00,17.00
2/15 15:35:24,23.85,38.00,17.00
2/15 15:35:25,24.49,38.00,17.00
2/15 15:35:26,25.46,38.00,17.00
2/15 15:35:27,24.81,38.00,18.00
2/15 15:35:28,24.17,38.00,18.00
2/15 15:35:29,24.17,38.00,18.00
2/15 15:35:30,25.14,38.00,18.00
2/15 15:35:31,24.81,38.00,18.00
2/15 15:35:32,24.17,38.00,18.00
2/15 15:35:33,23.53,38.00,18.00
2/15 15:35:34,23.53,38.00,18.00
2/15 15:35:35,24.81,38.00,18.00
2/15 15:35:36,24.81,38.00,18.00
2/15 15:35:37,24.81,38.00,18.00
2/15 15:35:38,24.49,38.00,18.00
2/15 15:35:39,24.49,38.00,18.00
2/15 15:35:40,25.14,38.00,18.00
2/15 15:35:41,25.14,38.00,18.00
2/15 15:35:42,23.85,38.00,18.00
2/15 15:35:43,24.17,38.00,18.00
2/15 15:35:44,24.81,38.00,18.00
2/15 15:35:45,25.14,38.00,18.00
2/15 15:35:46,24.17,38.00,18.00
2/15 15:35:47,24.49,38.00,18.00
2/15 15:35:48,24.17,38.00,18.00
2/15 15:35:49,24.17,38.00,18.00
2/15 15:35:50,23.53,38.00,18.00
2/15 15:35:51,24.81,38.00,18.00
2/15 15:35:52,25.46,38.00,18.00
2/15 15:35:53,24.49,38.00,18.00
2/15 15:35:54,24.17,38.00,18.00
2/15 15:35:55,24.49,38.00,18.00
2/15 15:35:56,24.49,38.00,18.00
2/15 15:35:57,25.46,38.00,18.00
2/15 15:35:58,24.81,38.00,18.00
2/15 15:35:59,24.49,38.00,18.00
2/15 15:36:0,24.17,38.00,18.00
2/15 15:36:1,25.14,38.00,18.00
2/15 15:36:2,24.49,38.00,18.00
2/15 15:36:3,24.49,38.00,18.00
2/15 15:36:4,24.81,38.00,18.00
2/15 15:36:5,24.17,38.00,18.00
