DateTime,Mote,Temp,Mic,RF,AQ,Motion
2/21 17:47:31,26,22.62,518,194,135,0
2/21 17:47:32,26,22.32,513,203,135,0
2/21 17:47:33,26,22.32,511,216,135,0
2/21 17:47:34,26,22.32,519,205,135,0
2/21 17:47:35,26,22.32,515,192,135,0
2/21 17:47:36,26,22.62,514,196,135,0
2/21 17:47:37,26,22.62,514,205,135,0
2/21 17:47:38,26,22.62,511,199,136,0
2/21 17:47:39,26,22.62,513,187,135,0
2/21 17:47:40,26,22.62,514,189,135,0
2/21 17:47:41,26,22.62,518,190,135,0
2/21 17:47:42,26,22.32,511,204,135,0
2/21 17:47:43,26,22.62,513,194,134,0
2/21 17:47:44,26,22.62,512,194,135,0
2/21 17:47:45,26,22.62,514,214,135,0
2/21 17:47:46,26,22.62,514,188,134,0
2/21 17:47:47,26,22.62,513,184,134,0
2/21 17:47:48,26,22.62,510,204,134,0
2/21 17:47:49,26,22.32,517,199,134,0
2/21 17:47:50,26,22.62,514,196,135,0
2/21 17:47:51,26,22.62,515,200,135,0
2/21 17:47:52,26,22.62,516,201,135,0
2/21 17:47:53,26,22.03,514,189,135,0
2/21 17:47:54,26,22.62,515,263,135,0
2/21 17:47:55,26,22.62,517,265,134,0
2/21 17:47:56,26,22.62,513,280,134,0
2/21 17:47:57,26,22.62,518,276,134,0
2/21 17:47:58,26,22.62,514,265,135,0
2/21 17:47:59,26,22.32,515,191,134,0
2/21 17:48:0,26,22.62,514,252,135,0
2/21 17:48:1,26,22.32,512,258,134,0
2/21 17:48:2,26,22.91,513,261,134,0
2/21 17:48:3,26,22.62,514,193,134,0
2/21 17:48:4,26,22.62,515,195,134,0
2/21 17:48:5,26,22.62,512,304,134,0
2/21 17:48:6,26,22.62,516,279,134,0
2/21 17:48:7,26,22.62,514,307,134,0
2/21 17:48:8,26,22.62,513,301,134,0
2/21 17:48:9,26,22.91,515,309,134,0
2/21 17:48:10,26,22.62,513,180,134,0
2/21 17:48:11,26,22.62,513,197,134,0
2/21 17:48:12,26,22.62,514,196,134,0
2/21 17:48:13,26,22.91,514,223,135,0
2/21 17:48:14,26,22.62,518,189,135,0
2/21 17:48:15,26,22.62,515,302,134,0
2/21 17:48:16,26,23.20,513,297,134,0
2/21 17:48:17,26,22.62,512,303,134,0
2/21 17:48:18,26,22.62,515,297,134,0
2/21 17:48:19,26,22.62,511,295,134,0
