DateTime,Mote,Temp,Mic,RF,AQ,Motion
2/21 18:47:49,26,25.55,513,191,133,0
2/21 18:47:50,26,25.55,509,292,133,0
2/21 18:47:51,26,25.55,514,284,133,0
2/21 18:47:52,26,25.25,514,273,133,0
2/21 18:47:53,26,25.55,510,289,134,0
2/21 18:47:54,26,25.55,514,295,133,0
2/21 18:47:55,26,25.55,514,190,133,0
2/21 18:47:56,26,25.55,514,187,133,0
2/21 18:47:57,26,25.55,514,218,134,0
2/21 18:47:58,26,25.25,511,182,133,0
2/21 18:47:59,26,25.25,512,186,133,0
2/21 18:48:0,26,25.55,510,181,133,0
2/21 18:48:2,26,25.55,512,191,133,0
2/21 18:48:3,26,25.55,512,244,134,0
2/21 18:48:4,26,25.55,515,182,133,0
2/21 18:48:5,26,25.55,512,183,133,0
2/21 18:48:6,26,25.55,514,184,134,0
2/21 18:48:7,26,25.84,512,177,134,0
2/21 18:48:8,26,25.55,512,224,133,0
2/21 18:48:9,26,25.55,512,191,133,0
2/21 18:48:10,26,25.55,511,180,133,0
2/21 18:48:11,26,25.55,514,178,133,0
2/21 18:48:12,26,25.55,514,185,133,0
2/21 18:48:13,26,25.84,514,190,133,0
2/21 18:48:14,26,25.55,515,186,133,0
2/21 18:48:15,26,25.55,511,184,133,0
2/21 18:48:16,26,25.55,511,191,134,0
2/21 18:48:17,26,25.55,511,185,133,0
2/21 18:48:18,26,25.55,510,202,133,0
2/21 18:48:19,26,25.55,511,233,133,0
2/21 18:48:20,26,25.55,510,201,134,0
2/21 18:48:21,26,25.55,511,278,133,0
2/21 18:48:22,26,25.55,515,294,133,0
2/21 18:48:23,26,25.55,513,297,133,0
2/21 18:48:24,26,25.55,515,289,133,0
2/21 18:48:25,26,25.25,512,295,133,0
2/21 18:48:26,26,25.55,512,182,133,0
2/21 18:48:27,26,25.55,514,183,133,0
2/21 18:48:28,26,25.55,510,193,133,0
2/21 18:48:29,26,25.55,516,188,133,0
2/21 18:48:30,26,25.55,510,184,133,0
2/21 18:48:31,26,25.84,518,187,133,0
2/21 18:48:32,26,25.55,509,184,133,0
2/21 18:48:33,26,25.55,515,295,134,0
2/21 18:48:34,26,25.84,513,294,133,0
2/21 18:48:35,26,25.55,514,287,134,0
2/21 18:48:36,26,25.55,514,185,133,0
2/21 18:48:37,26,25.55,513,184,133,0
2/21 18:48:38,26,25.55,512,208,133,0
2/21 18:48:39,26,25.55,514,201,133,0
2/21 18:48:40,26,25.55,512,181,133,0
2/21 18:48:41,26,25.55,515,206,134,0
2/21 18:48:42,26,25.55,510,196,133,0
2/21 18:48:43,26,25.55,514,191,133,0
2/21 18:48:44,26,25.55,514,184,133,0
2/21 18:48:45,26,25.55,517,192,133,0
2/21 18:48:46,26,25.55,512,201,133,0
2/21 18:48:47,26,25.55,517,197,133,0
2/21 18:48:48,26,25.55,510,187,133,0
2/21 18:48:49,26,26.13,513,184,133,0
2/21 18:48:50,26,25.55,514,196,134,0
2/21 18:48:51,26,25.25,512,181,133,0
2/21 18:48:52,26,25.84,512,197,133,0
2/21 18:48:53,26,25.55,511,194,133,0
2/21 18:48:54,26,26.13,511,226,134,0
2/21 18:48:55,26,25.25,512,202,134,0
2/21 18:48:56,26,25.55,512,297,133,0
2/21 18:48:57,26,25.25,515,290,133,0
2/21 18:48:58,26,25.55,511,288,133,0
2/21 18:48:59,26,25.25,515,293,133,0
2/21 18:49:0,26,25.55,517,305,133,0
2/21 18:49:1,26,25.55,512,180,133,0
2/21 18:49:2,26,25.55,513,228,134,0
2/21 18:49:3,26,25.84,514,189,134,0
2/21 18:49:4,26,25.55,511,300,134,0
2/21 18:49:5,26,25.55,515,293,133,0
2/21 18:49:6,26,25.84,512,288,133,0
2/21 18:49:7,26,25.25,513,191,133,0
2/21 18:49:8,26,24.96,513,187,133,0
2/21 18:49:9,26,25.55,513,197,133,0
2/21 18:49:10,26,25.84,513,283,133,0
2/21 18:49:11,26,25.55,515,296,133,0
2/21 18:49:12,26,25.25,513,302,133,0
2/21 18:49:13,26,25.55,515,290,133,0
2/21 18:49:14,26,25.55,513,298,133,0
2/21 18:49:15,26,25.55,516,204,134,0
2/21 18:49:16,26,25.25,519,183,133,0
2/21 18:49:17,26,25.55,513,185,133,0
2/21 18:49:18,26,25.55,514,206,133,0
2/21 18:49:19,26,25.55,511,182,133,0
2/21 18:49:20,26,25.84,511,204,133,0
2/21 18:49:21,26,25.55,512,188,133,0
2/21 18:49:22,26,25.55,514,193,134,0
2/21 18:49:23,26,25.84,514,198,133,0
2/21 18:49:24,26,25.84,512,207,133,0
2/21 18:49:25,26,25.55,513,192,133,0
2/21 18:49:26,26,25.55,516,188,133,0
2/21 18:49:27,26,25.55,508,187,133,0
2/21 18:49:28,26,25.55,512,190,133,0
2/21 18:49:29,26,25.55,514,185,133,0
2/21 18:49:30,26,25.55,513,185,133,0
2/21 18:49:31,26,25.55,513,192,133,0
2/21 18:49:32,26,25.55,510,211,133,0
2/21 18:49:33,26,25.55,513,186,133,0
2/21 18:49:34,26,25.55,515,201,133,0
2/21 18:49:35,26,25.55,512,205,133,0
2/21 18:49:36,26,25.55,514,228,134,0
2/21 18:49:37,26,25.55,513,228,134,0
2/21 18:49:38,26,25.55,513,226,133,0
2/21 18:49:39,26,25.25,514,245,134,0
2/21 18:49:40,26,25.55,513,205,133,0
2/21 18:49:41,26,25.55,513,191,133,0
2/21 18:49:42,26,25.55,512,191,133,0
2/21 18:49:43,26,25.55,514,202,134,0
2/21 18:49:44,26,25.55,512,242,134,0
2/21 18:49:45,26,26.13,513,189,133,0
2/21 18:49:46,26,25.25,514,221,133,0
2/21 18:49:47,26,25.55,515,193,133,0
2/21 18:49:48,26,25.25,509,258,133,0
2/21 18:49:49,26,25.55,514,185,134,0
2/21 18:49:50,26,25.84,509,188,134,0
2/21 18:49:51,26,25.25,511,197,134,0
2/21 18:49:52,26,25.55,511,185,133,0
2/21 18:49:53,26,25.55,516,238,134,0
2/21 18:49:54,26,25.55,512,242,134,0
2/21 18:49:55,26,25.25,515,182,133,0
2/21 18:49:56,26,25.55,514,205,133,0
2/21 18:49:57,26,25.55,511,180,133,0
2/21 18:49:58,26,25.55,513,197,134,0
2/21 18:49:59,26,25.25,513,183,134,0
2/21 18:50:0,26,25.55,514,227,134,0
2/21 18:50:1,26,25.55,511,222,134,0
2/21 18:50:2,26,25.55,516,190,133,0
2/21 18:50:3,26,25.55,511,204,133,0
2/21 18:50:4,26,25.55,511,199,134,0
2/21 18:50:5,26,25.55,509,225,133,0
2/21 18:50:6,26,25.84,510,184,133,0
2/21 18:50:7,26,25.55,511,206,133,0
2/21 18:50:8,26,25.55,511,308,133,0
2/21 18:50:9,26,25.55,513,311,133,0
2/21 18:50:10,26,25.55,514,310,133,0
2/21 18:50:11,26,25.55,513,313,133,0
2/21 18:50:12,26,25.25,510,325,133,0
2/21 18:50:13,26,25.55,512,329,133,0
2/21 18:50:14,26,25.25,519,307,133,0
2/21 18:50:15,26,25.55,512,253,133,0
2/21 18:50:16,26,25.55,512,188,133,0
2/21 18:50:17,26,25.55,514,208,134,0
2/21 18:50:18,26,25.55,515,213,133,0
2/21 18:50:19,26,25.55,513,229,133,0
2/21 18:50:20,26,25.55,508,326,133,0
2/21 18:50:21,26,25.84,512,331,134,0
2/21 18:50:22,26,25.55,516,326,133,0
2/21 18:50:23,26,25.55,506,324,134,0
2/21 18:50:24,26,25.55,517,321,134,0
2/21 18:50:25,26,25.55,510,239,134,0
2/21 18:50:26,26,25.55,514,250,133,0
2/21 18:50:27,26,25.55,517,193,134,0
2/21 18:50:28,26,25.55,510,189,133,0
2/21 18:50:29,26,25.55,516,206,133,0
2/21 18:50:30,26,25.55,514,186,133,0
2/21 18:50:31,26,25.55,511,211,134,0
2/21 18:50:32,26,25.84,513,206,133,0
2/21 18:50:33,26,25.55,512,248,133,0
2/21 18:50:34,26,25.55,517,254,133,0
2/21 18:50:35,26,25.55,512,216,134,0
2/21 18:50:36,26,25.55,511,240,134,0
2/21 18:50:37,26,25.55,516,255,133,0
2/21 18:50:38,26,25.55,515,299,133,0
2/21 18:50:39,26,25.55,514,240,134,0
2/21 18:50:40,26,25.55,517,224,134,0
2/21 18:50:41,26,25.55,513,243,133,0
2/21 18:50:42,26,24.96,513,243,134,0
2/21 18:50:43,26,25.55,511,225,134,0
2/21 18:50:44,26,25.55,513,253,133,0
2/21 18:50:45,26,25.55,516,177,133,0
2/21 18:50:46,26,25.55,511,218,134,0
2/21 18:50:48,26,25.55,514,195,133,0
2/21 18:50:49,26,25.55,512,186,133,0
2/21 18:50:50,26,25.55,512,196,134,0
2/21 18:50:51,26,24.96,514,193,133,0
2/21 18:50:52,26,25.55,514,198,133,0
2/21 18:50:53,26,25.55,513,229,134,0
2/21 18:50:54,26,25.55,513,185,134,0
2/21 18:50:55,26,25.55,514,229,133,0
2/21 18:50:56,26,25.25,513,198,133,0
2/21 18:50:57,26,25.55,511,189,133,0
2/21 18:50:58,26,25.55,513,180,132,0
2/21 18:50:59,26,25.55,514,229,133,0
2/21 18:51:0,26,25.55,512,192,133,0
2/21 18:51:1,26,24.96,514,186,133,0
2/21 18:51:2,26,25.25,509,211,134,0
2/21 18:51:3,26,25.55,515,199,133,0
2/21 18:51:4,26,25.55,516,188,133,0
2/21 18:51:5,26,25.55,514,224,133,0
2/21 18:51:6,26,25.55,513,191,133,0
2/21 18:51:7,26,25.55,514,196,133,0
2/21 18:51:8,26,25.55,516,186,134,0
2/21 18:51:9,26,25.55,515,187,134,0
2/21 18:51:10,26,25.55,511,194,133,0
2/21 18:51:11,26,25.55,512,194,133,0
2/21 18:51:12,26,25.55,515,291,134,0
2/21 18:51:13,26,25.55,513,281,133,0
2/21 18:51:14,26,25.55,516,292,134,0
2/21 18:51:15,26,25.55,511,287,133,0
2/21 18:51:16,26,25.55,511,294,133,0
2/21 18:51:17,26,24.96,516,290,134,0
2/21 18:51:18,26,24.96,511,193,133,0
2/21 18:51:19,26,25.55,515,195,133,0
2/21 18:51:20,26,25.55,512,187,133,0
2/21 18:51:21,26,24.96,512,197,134,0
