DateTime,Mote,Temp,Mic,RF,AQ,Motion
2/21 19:55:29,26,25.55,512,242,150,0
2/21 19:55:30,26,25.55,514,243,150,0
2/21 19:55:31,26,25.55,515,251,150,0
2/21 19:55:32,26,25.55,513,237,151,0
2/21 19:55:33,26,25.55,514,240,150,0
2/21 19:55:34,26,25.55,513,254,151,0
2/21 19:55:35,26,25.84,514,241,150,0
2/21 19:55:36,26,25.55,517,187,151,0
2/21 19:55:37,26,25.55,512,234,150,0
2/21 19:55:38,26,25.55,511,245,151,0
2/21 19:55:39,26,25.55,517,192,150,0
2/21 19:55:40,26,25.55,513,254,150,0
2/21 19:55:41,26,25.84,512,237,150,0
2/21 19:55:42,26,25.55,513,247,151,0
2/21 19:55:44,26,25.55,512,250,151,0
2/21 19:55:45,26,25.55,511,203,151,0
2/21 19:55:46,26,25.84,513,269,150,0
2/21 19:55:47,26,25.55,511,234,151,0
2/21 19:55:48,26,25.55,514,248,151,0
2/21 19:55:49,26,25.55,513,249,151,0
2/21 19:55:50,26,25.84,514,224,150,0
2/21 19:55:51,26,25.55,513,242,151,0
2/21 19:55:52,26,25.55,514,243,150,0
2/21 19:55:53,26,25.84,512,263,150,0
2/21 19:55:54,26,25.25,511,228,150,0
2/21 19:55:55,26,25.55,511,217,150,0
2/21 19:55:56,26,25.55,512,193,150,0
2/21 19:55:57,26,25.84,515,187,150,0
2/21 19:55:58,26,25.55,513,245,151,0
2/21 19:55:59,26,25.55,513,241,150,0
2/21 19:56:0,26,25.25,512,189,150,0
2/21 19:56:1,26,25.84,512,221,151,0
2/21 19:56:2,26,24.96,517,221,151,0
2/21 19:56:3,26,24.96,514,245,151,0
2/21 19:56:3,26,24.96,514,245,151,0
2/21 19:56:5,26,25.55,517,238,151,0
2/21 19:56:6,26,25.55,512,268,151,0
2/21 19:56:7,26,25.55,514,210,151,0
2/21 19:56:8,26,25.55,510,269,151,0
2/21 19:56:9,26,26.43,515,242,150,0
2/21 19:56:10,26,25.55,514,268,151,0
2/21 19:56:11,26,25.55,512,234,151,0
2/21 19:56:12,26,25.84,517,248,151,0
2/21 19:56:13,26,25.55,500,216,151,0
2/21 19:56:14,26,25.55,515,233,150,0
2/21 19:56:15,26,25.55,508,252,151,0
2/21 19:56:16,26,24.96,518,230,151,0
2/21 19:56:17,26,25.55,509,234,150,0
2/21 19:56:18,26,25.25,509,197,151,0
2/21 19:56:19,26,24.96,514,232,150,0
2/21 19:56:20,26,25.55,513,228,151,0
2/21 19:56:21,26,25.55,512,235,151,0
2/21 19:56:22,26,25.55,515,260,151,0
2/21 19:56:23,26,25.84,512,224,151,0
2/21 19:56:24,26,25.84,512,255,151,0
2/21 19:56:25,26,25.55,511,242,150,0
2/21 19:56:26,26,25.55,510,258,151,0
2/21 19:56:27,26,25.84,511,200,151,0
2/21 19:56:28,26,25.25,516,231,151,0
2/21 19:56:29,26,25.25,513,235,150,0
2/21 19:56:30,26,25.55,513,241,150,0
2/21 19:56:31,26,24.96,511,261,150,0
2/21 19:56:32,26,25.84,513,262,151,0
2/21 19:56:33,26,25.84,511,237,150,0
2/21 19:56:34,26,25.55,511,248,151,0
2/21 19:56:35,26,25.55,518,239,151,0
2/21 19:56:36,26,25.55,515,244,150,0
2/21 19:56:37,26,25.55,512,241,150,0
2/21 19:56:38,26,25.55,514,262,150,0
2/21 19:56:39,26,25.55,513,196,150,0
2/21 19:56:40,26,25.55,513,195,151,0
2/21 19:56:41,26,25.84,512,213,150,0
2/21 19:56:42,26,25.55,514,181,151,0
2/21 19:56:43,26,25.55,512,182,151,0
2/21 19:56:44,26,25.84,514,199,151,0
2/21 19:56:45,26,25.55,514,231,151,0
2/21 19:56:46,26,25.84,509,258,151,0
2/21 19:56:47,26,25.84,511,267,151,0
2/21 19:56:48,26,25.84,514,238,151,0
2/21 19:56:49,26,25.55,516,258,151,0
2/21 19:56:50,26,25.84,511,243,151,0
2/21 19:56:51,26,25.84,507,215,151,0
2/21 19:56:52,26,25.84,515,204,151,0
2/21 19:56:53,26,25.55,515,179,151,0
2/21 19:56:54,26,25.55,512,238,151,0
2/21 19:56:55,26,25.84,512,258,151,0
2/21 19:56:56,26,25.84,510,248,151,0
2/21 19:56:57,26,26.43,515,218,151,0
2/21 19:56:58,26,25.84,512,182,151,0
2/21 19:56:59,26,25.84,513,196,152,0
2/21 19:57:0,26,25.25,512,230,152,0
2/21 19:57:1,26,25.55,512,207,151,0
2/21 19:57:2,26,25.84,517,214,151,0
2/21 19:57:3,26,25.55,510,218,151,0
2/21 19:57:4,26,25.84,514,223,151,0
2/21 19:57:5,26,25.25,513,189,151,0
2/21 19:57:6,26,25.55,514,208,151,0
2/21 19:57:7,26,25.84,515,183,151,0
2/21 19:57:8,26,25.84,514,182,151,0
2/21 19:57:9,26,25.25,511,282,151,0
2/21 19:57:10,26,25.84,512,251,151,0
2/21 19:57:11,26,25.84,513,193,151,0
2/21 19:57:12,26,25.84,512,245,151,0
2/21 19:57:13,26,25.84,508,251,151,0
2/21 19:57:14,26,25.84,511,260,152,0
2/21 19:57:15,26,25.84,514,208,151,0
2/21 19:57:16,26,25.55,511,210,151,0
2/21 19:57:17,26,25.84,514,248,151,0
2/21 19:57:18,26,25.84,515,274,151,0
2/21 19:57:19,26,25.84,511,281,151,0
2/21 19:57:20,26,25.84,514,241,152,0
2/21 19:57:21,26,25.84,512,234,151,0
2/21 19:57:22,26,25.84,512,271,151,0
2/21 19:57:23,26,25.84,515,278,151,0
2/21 19:57:24,26,25.84,519,205,151,0
2/21 19:57:25,26,25.84,514,192,152,0
2/21 19:57:26,26,25.84,514,194,151,0
2/21 19:57:27,26,25.84,511,252,151,0
2/21 19:57:28,26,26.13,512,186,151,0
2/21 19:57:29,26,25.55,514,199,151,0
2/21 19:57:30,26,25.84,513,188,151,0
2/21 19:57:31,26,25.84,512,263,152,0
2/21 19:57:32,26,26.13,513,258,152,0
2/21 19:57:33,26,25.84,516,267,151,0
2/21 19:57:34,26,25.84,515,267,151,0
