Time Stamp, Noise Level, Humidity, Temperature (*C)
2/21 18:50:28,25.46,38.00,18.00
2/21 18:50:29,24.81,38.00,18.00
2/21 18:50:31,25.46,38.00,18.00
2/21 18:50:32,25.46,38.00,18.00
2/21 18:50:33,24.81,38.00,18.00
2/21 18:50:34,25.14,38.00,18.00
2/21 18:50:35,25.46,38.00,18.00
2/21 18:50:37,25.14,38.00,18.00
2/21 18:50:38,25.14,37.00,19.00
2/21 18:50:39,24.81,37.00,19.00
2/21 18:50:40,25.14,37.00,19.00
2/21 18:50:41,25.46,37.00,19.00
2/21 18:50:43,25.78,38.00,18.00
2/21 18:50:44,24.81,38.00,18.00
2/21 18:50:45,25.14,38.00,18.00
2/21 18:50:46,25.46,38.00,18.00
2/21 18:50:47,25.14,37.00,19.00
2/21 18:50:48,25.46,37.00,19.00
2/21 18:50:50,25.14,38.00,18.00
2/21 18:50:51,25.14,38.00,18.00
2/21 18:50:52,24.81,38.00,18.00
2/21 18:50:53,24.81,38.00,18.00
2/21 18:50:54,25.14,38.00,18.00
2/21 18:50:55,25.46,38.00,18.00
2/21 18:50:58,25.78,38.00,18.00
2/21 18:50:59,24.81,38.00,18.00
2/21 18:51:0,24.81,38.00,18.00
2/21 18:51:1,24.17,38.00,18.00
2/21 18:51:2,25.46,38.00,18.00
2/21 18:51:3,25.46,38.00,18.00
2/21 18:51:4,26.10,38.00,18.00
2/21 18:51:5,25.14,37.00,19.00
2/21 18:51:6,25.14,37.00,19.00
2/21 18:51:7,25.14,38.00,18.00
2/21 18:51:8,25.46,38.00,18.00
2/21 18:51:10,25.46,38.00,18.00
2/21 18:51:11,25.78,38.00,18.00
2/21 18:51:12,25.14,38.00,18.00
2/21 18:51:13,25.14,38.00,18.00
2/21 18:51:14,25.14,38.00,18.00
2/21 18:51:15,25.14,38.00,18.00
2/21 18:51:17,24.81,38.00,18.00
2/21 18:51:18,25.14,38.00,18.00
2/21 18:51:19,25.78,37.00,19.00
2/21 18:51:20,25.14,37.00,19.00
2/21 18:51:21,25.46,38.00,18.00
2/21 18:51:22,24.81,38.00,18.00
2/21 18:51:24,24.81,38.00,18.00
2/21 18:51:25,25.14,38.00,18.00
2/21 18:51:26,24.49,38.00,18.00
2/21 18:51:27,24.49,38.00,18.00
2/21 18:51:28,25.78,38.00,18.00
2/21 18:51:29,25.78,38.00,18.00
2/21 18:51:30,25.78,38.00,18.00
2/21 18:51:31,25.46,38.00,18.00
2/21 18:51:32,24.81,38.00,18.00
2/21 18:51:33,25.46,38.00,18.00
2/21 18:51:34,25.14,38.00,18.00
2/21 18:51:36,25.78,38.00,18.00
2/21 18:51:37,25.46,38.00,18.00
2/21 18:51:38,26.10,38.00,18.00
2/21 18:51:39,25.46,38.00,18.00
2/21 18:51:40,25.46,38.00,18.00
2/21 18:51:41,25.14,38.00,18.00
2/21 18:51:43,24.81,38.00,18.00
2/21 18:51:44,25.46,38.00,18.00
2/21 18:51:45,25.14,38.00,18.00
2/21 18:51:46,25.46,38.00,18.00
2/21 18:51:47,24.49,37.00,19.00
2/21 18:51:48,26.43,37.00,19.00
2/21 18:51:50,24.17,38.00,18.00
2/21 18:51:51,24.49,38.00,18.00
2/21 18:51:52,24.81,38.00,18.00
2/21 18:51:53,24.81,38.00,18.00
2/21 18:51:54,24.81,37.00,19.00
2/21 18:51:55,24.81,37.00,19.00
2/21 18:51:56,25.14,37.00,19.00
2/21 18:51:57,25.46,37.00,19.00
2/21 18:51:58,24.81,37.00,19.00
2/21 18:51:59,25.78,38.00,18.00
2/21 18:52:0,25.78,38.00,18.00
2/21 18:52:2,23.85,38.00,18.00
2/21 18:52:3,24.17,38.00,18.00
2/21 18:52:4,24.17,38.00,18.00
2/21 18:52:5,25.78,38.00,18.00
2/21 18:52:6,24.81,38.00,18.00
2/21 18:52:7,25.46,38.00,18.00
2/21 18:52:9,26.10,38.00,18.00
2/21 18:52:10,25.46,38.00,18.00
2/21 18:52:11,25.14,38.00,18.00
2/21 18:52:12,26.10,38.00,18.00
2/21 18:52:13,24.49,38.00,18.00
2/21 18:52:14,24.81,38.00,18.00
2/21 18:52:16,24.49,38.00,18.00
2/21 18:52:17,24.17,38.00,18.00
2/21 18:52:18,24.49,38.00,18.00
2/21 18:52:19,25.78,38.00,18.00
2/21 18:52:20,24.49,38.00,18.00
2/21 18:52:21,24.49,38.00,18.00
2/21 18:52:22,24.81,38.00,18.00
2/21 18:52:23,25.14,38.00,18.00
2/21 18:52:24,25.14,38.00,18.00
2/21 18:52:25,23.85,38.00,18.00
2/21 18:52:26,25.46,38.00,18.00
2/21 18:52:28,25.78,38.00,18.00
2/21 18:52:29,25.14,38.00,18.00
2/21 18:52:30,25.46,38.00,18.00
2/21 18:52:31,25.46,38.00,18.00
2/21 18:52:32,24.81,38.00,18.00
2/21 18:52:33,25.14,38.00,18.00
2/21 18:52:35,25.14,38.00,18.00
2/21 18:52:36,25.46,38.00,18.00
2/21 18:52:37,25.46,38.00,18.00
2/21 18:52:38,25.78,38.00,18.00
2/21 18:52:39,25.14,38.00,18.00
2/21 18:52:40,24.81,38.00,18.00
2/21 18:52:42,25.14,38.00,18.00
2/21 18:52:43,25.14,38.00,18.00
2/21 18:52:44,25.14,38.00,18.00
2/21 18:52:45,25.14,38.00,18.00
2/21 18:52:47,25.14,38.00,18.00
2/21 18:52:48,25.46,38.00,18.00
2/21 18:52:49,25.14,38.00,18.00
2/21 18:52:50,24.81,38.00,18.00
2/21 18:52:51,25.46,38.00,18.00
2/21 18:52:52,24.49,38.00,18.00
2/21 18:52:54,25.78,38.00,18.00
2/21 18:52:55,25.78,38.00,18.00
2/21 18:52:56,25.14,38.00,18.00
2/21 18:52:57,25.46,38.00,18.00
2/21 18:52:58,25.14,38.00,18.00
2/21 18:52:59,25.14,38.00,18.00
2/21 18:53:1,25.46,38.00,18.00
2/21 18:53:2,24.81,38.00,18.00
2/21 18:53:3,24.81,38.00,18.00
2/21 18:53:4,25.46,38.00,18.00
