DateTime,Mote,Temp,Mic,RF,AQ,Motion
2/22 23:19:9,26,19.98,512,180,OFF,0
2/22 23:19:10,26,19.69,515,175,OFF,0
2/22 23:19:11,26,19.69,514,163,OFF,0
2/22 23:19:12,26,19.98,510,172,OFF,0
2/22 23:19:13,26,19.69,516,201,OFF,0
2/22 23:19:14,26,19.39,517,114,OFF,0
2/22 23:19:15,26,19.69,512,125,OFF,0
2/22 23:19:16,26,19.98,516,122,OFF,0
2/22 23:19:17,26,19.98,512,169,OFF,0
2/22 23:19:18,26,19.98,516,169,OFF,0
2/22 23:19:19,26,19.98,511,137,OFF,0
2/22 23:19:20,26,19.39,514,191,OFF,0
2/22 23:19:21,26,19.98,517,126,OFF,0
2/22 23:19:22,26,19.69,516,119,OFF,0
2/22 23:19:23,26,19.98,513,116,OFF,0
2/22 23:19:24,26,19.98,515,120,OFF,0
2/22 23:19:25,26,19.98,515,193,OFF,0
2/22 23:19:26,26,19.98,515,120,OFF,0
2/22 23:19:27,26,19.69,515,177,OFF,0
2/22 23:19:28,26,19.98,514,180,OFF,0
2/22 23:19:29,26,19.98,512,131,OFF,0
2/22 23:19:30,26,19.69,514,168,OFF,0
2/22 23:19:31,26,19.98,514,176,OFF,0
2/22 23:19:32,26,19.39,513,157,OFF,0
2/22 23:19:33,26,19.39,512,116,OFF,0
2/22 23:19:34,26,19.98,515,212,OFF,0
2/22 23:19:35,26,19.69,513,173,OFF,0
2/22 23:19:36,26,19.69,515,120,OFF,0
2/22 23:19:37,26,19.69,513,179,OFF,0
2/22 23:19:38,26,19.98,515,119,OFF,0
2/22 23:19:39,26,19.69,512,186,OFF,0
2/22 23:19:40,26,19.69,513,148,OFF,0
2/22 23:19:41,26,19.98,515,187,OFF,0
2/22 23:19:42,26,19.98,511,178,OFF,0
2/22 23:19:43,26,19.98,517,167,OFF,0
2/22 23:19:44,26,20.27,517,230,OFF,0
2/22 23:19:45,26,19.98,515,146,OFF,0
2/22 23:19:46,26,19.69,517,151,OFF,0
2/22 23:19:47,26,19.69,513,172,OFF,0
2/22 23:19:48,26,19.69,512,247,OFF,0
2/22 23:19:49,26,19.98,519,138,OFF,0
2/22 23:19:50,26,19.98,520,122,OFF,0
2/22 23:19:51,26,19.98,516,169,OFF,0
2/22 23:19:52,26,19.98,515,161,OFF,0
2/22 23:19:53,26,19.39,519,132,OFF,0
2/22 23:19:54,26,20.27,518,233,OFF,0
2/22 23:19:55,26,19.98,512,122,OFF,0
2/22 23:19:56,26,19.69,509,120,OFF,0
2/22 23:19:57,26,19.69,517,129,OFF,0
2/22 23:19:58,26,19.98,516,117,OFF,0
2/22 23:19:59,26,19.39,518,179,OFF,0
2/22 23:20:0,26,19.98,520,184,OFF,0
2/22 23:20:1,26,19.98,513,188,OFF,0
2/22 23:20:2,26,19.69,520,118,OFF,0
2/22 23:20:3,26,19.98,514,357,OFF,0
2/22 23:20:4,26,19.98,513,357,OFF,0
2/22 23:20:5,26,19.98,513,362,OFF,0
2/22 23:20:6,26,19.69,514,355,OFF,0
2/22 23:20:8,26,19.69,511,181,OFF,0
2/22 23:20:9,26,19.69,511,176,OFF,0
2/22 23:20:10,26,19.98,517,160,OFF,0
2/22 23:20:11,26,19.69,514,120,OFF,0
2/22 23:20:12,26,19.98,511,171,OFF,0
2/22 23:20:13,26,19.98,519,236,OFF,0
2/22 23:20:14,26,19.98,513,143,OFF,0
2/22 23:20:15,26,19.69,516,240,OFF,0
2/22 23:20:16,26,19.98,513,125,OFF,0
2/22 23:20:17,26,19.98,517,353,OFF,0
2/22 23:20:18,26,19.98,511,355,OFF,0
2/22 23:20:19,26,19.98,512,353,OFF,0
2/22 23:20:20,26,19.69,516,356,OFF,0
2/22 23:20:21,26,19.98,514,229,OFF,0
2/22 23:20:22,26,19.98,515,132,OFF,0
2/22 23:20:23,26,19.69,514,132,OFF,0
2/22 23:20:24,26,19.98,514,170,OFF,0
