DateTime,Mote,Temp,Mic,RF,AQ,Motion
2/22 17:16:48,26,19.69,517,155,OFF,0
2/22 17:16:48,26,19.69,517,155,OFF,0
2/22 17:16:50,26,19.69,516,159,OFF,0
2/22 17:16:51,26,19.98,516,154,OFF,0
2/22 17:16:52,26,19.39,515,164,OFF,0
2/22 17:16:53,26,19.69,517,211,OFF,0
2/22 17:16:54,26,19.98,517,159,OFF,0
2/22 17:16:55,26,19.69,519,157,OFF,0
2/22 17:16:56,26,19.98,508,173,OFF,0
2/22 17:16:57,26,19.69,509,149,OFF,0
2/22 17:16:58,26,19.98,520,161,OFF,0
2/22 17:16:59,26,19.98,519,156,OFF,0
2/22 17:17:0,26,19.98,519,164,OFF,0
2/22 17:17:1,26,19.69,519,159,OFF,0
2/22 17:17:2,26,19.98,517,190,OFF,0
2/22 17:17:3,26,19.69,517,272,OFF,0
2/22 17:17:4,26,19.69,516,206,OFF,0
2/22 17:17:5,26,19.69,516,195,OFF,0
2/22 17:17:6,26,19.98,519,198,OFF,0
2/22 17:17:7,26,19.69,514,204,OFF,0
2/22 17:17:8,26,19.98,512,197,OFF,0
2/22 17:17:9,26,19.98,517,213,OFF,0
2/22 17:17:10,26,19.98,513,163,OFF,0
2/22 17:17:11,26,19.69,513,179,OFF,0
2/22 17:17:12,26,19.98,517,157,OFF,0
2/22 17:17:13,26,19.98,512,158,OFF,0
2/22 17:17:14,26,19.69,524,160,OFF,0
2/22 17:17:15,26,19.98,513,165,OFF,0
2/22 17:17:16,26,19.69,519,155,OFF,0
2/22 17:17:17,26,19.98,517,158,OFF,0
2/22 17:17:18,26,19.98,511,145,OFF,0
2/22 17:17:19,26,19.98,516,162,OFF,0
2/22 17:17:20,26,19.98,509,153,OFF,0
2/22 17:17:21,26,19.69,518,143,OFF,0
2/22 17:17:22,26,19.98,518,231,OFF,0
2/22 17:17:23,26,19.98,516,222,OFF,0
2/22 17:17:24,26,19.98,511,221,OFF,0
2/22 17:17:24,26,19.98,511,221,OFF,0
2/22 17:17:26,26,19.98,521,212,OFF,0
2/22 17:17:27,26,19.69,515,236,OFF,0
2/22 17:17:28,26,19.69,513,225,OFF,0
2/22 17:17:29,26,19.39,515,209,OFF,0
2/22 17:17:30,26,19.98,514,218,OFF,0
2/22 17:17:31,26,19.69,507,209,OFF,0
2/22 17:17:32,26,19.98,514,247,OFF,0
2/22 17:17:33,26,19.98,504,203,OFF,0
2/22 17:17:34,26,19.69,520,172,OFF,0
2/22 17:17:35,26,19.98,514,150,OFF,0
2/22 17:17:36,26,19.98,508,146,OFF,0
2/22 17:17:37,26,19.98,519,209,OFF,0
2/22 17:17:38,26,19.98,512,262,OFF,0
2/22 17:17:39,26,19.98,510,220,OFF,0
2/22 17:17:40,26,19.69,513,221,OFF,0
2/22 17:17:41,26,19.98,508,184,OFF,0
2/22 17:17:42,26,19.98,517,170,OFF,0
