DateTime,Mote,Temp,Mic,RF,AQ,Motion
2/23 0:19:34,26,19.69,514,117,OFF,0
2/23 0:19:35,26,19.69,511,113,OFF,0
2/23 0:19:36,26,19.69,517,220,OFF,0
2/23 0:19:37,26,19.69,517,112,OFF,0
2/23 0:19:38,26,19.69,514,164,OFF,0
2/23 0:19:39,26,19.69,514,196,OFF,0
2/23 0:19:40,26,19.69,511,191,OFF,0
2/23 0:19:41,26,19.69,511,138,OFF,0
2/23 0:19:42,26,19.69,512,233,OFF,0
2/23 0:19:43,26,19.69,514,114,OFF,0
2/23 0:19:44,26,19.69,512,185,OFF,0
2/23 0:19:45,26,19.69,514,121,OFF,0
2/23 0:19:46,26,19.39,512,113,OFF,0
2/23 0:19:47,26,19.39,515,120,OFF,0
2/23 0:19:48,26,19.69,515,114,OFF,0
2/23 0:19:49,26,19.39,512,111,OFF,0
2/23 0:19:50,26,19.69,511,140,OFF,0
2/23 0:19:51,26,19.69,512,168,OFF,0
2/23 0:19:52,26,19.69,514,178,OFF,0
2/23 0:19:53,26,19.39,512,163,OFF,0
2/23 0:19:54,26,19.69,515,110,OFF,0
2/23 0:19:55,26,19.69,513,152,OFF,0
2/23 0:19:56,26,19.39,515,369,OFF,0
2/23 0:19:57,26,19.69,513,366,OFF,0
2/23 0:19:58,26,19.69,514,364,OFF,0
2/23 0:19:59,26,19.69,516,117,OFF,0
2/23 0:20:0,26,19.69,512,112,OFF,0
2/23 0:20:1,26,19.69,514,165,OFF,0
2/23 0:20:2,26,19.39,512,173,OFF,0
2/23 0:20:3,26,19.69,515,167,OFF,0
2/23 0:20:4,26,19.39,515,172,OFF,0
2/23 0:20:5,26,19.39,513,206,OFF,0
2/23 0:20:6,26,19.69,513,113,OFF,0
2/23 0:20:7,26,19.69,513,107,OFF,0
2/23 0:20:8,26,19.69,511,118,OFF,0
2/23 0:20:10,26,19.69,513,108,OFF,0
2/23 0:20:11,26,19.69,518,176,OFF,0
2/23 0:20:12,26,19.69,517,133,OFF,0
2/23 0:20:13,26,19.69,510,173,OFF,0
2/23 0:20:14,26,19.39,517,113,OFF,0
2/23 0:20:15,26,19.69,513,129,OFF,0
2/23 0:20:16,26,19.69,517,110,OFF,0
2/23 0:20:17,26,19.69,515,115,OFF,0
2/23 0:20:18,26,19.69,511,114,OFF,0
2/23 0:20:19,26,19.98,518,112,OFF,0
2/23 0:20:20,26,19.69,514,133,OFF,0
2/23 0:20:21,26,19.69,513,139,OFF,0
2/23 0:20:22,26,19.39,511,108,OFF,0
2/23 0:20:23,26,19.39,513,159,OFF,0
2/23 0:20:24,26,19.69,514,111,OFF,0
2/23 0:20:25,26,19.69,514,112,OFF,0
2/23 0:20:26,26,19.69,514,112,OFF,0
2/23 0:20:27,26,19.69,516,110,OFF,0
2/23 0:20:28,26,19.69,511,114,OFF,0
2/23 0:20:29,26,19.69,515,143,OFF,0
2/23 0:20:30,26,19.39,513,173,OFF,0
2/23 0:20:31,26,19.69,512,260,OFF,0
2/23 0:20:32,26,19.39,512,196,OFF,0
2/23 0:20:33,26,19.69,512,175,OFF,0
2/23 0:20:34,26,19.39,515,187,OFF,0
2/23 0:20:35,26,19.39,514,110,OFF,0
2/23 0:20:36,26,19.69,513,171,OFF,0
2/23 0:20:37,26,19.69,513,117,OFF,0
2/23 0:20:38,26,19.69,516,171,OFF,0
2/23 0:20:39,26,19.69,512,171,OFF,0
2/23 0:20:40,26,19.69,515,115,OFF,0
2/23 0:20:41,26,19.39,516,117,OFF,0
2/23 0:20:42,26,19.69,512,122,OFF,0
2/23 0:20:43,26,19.69,514,137,OFF,0
2/23 0:20:44,26,19.69,516,114,OFF,0
2/23 0:20:45,26,19.69,514,111,OFF,0
2/23 0:20:46,26,19.69,515,108,OFF,0
2/23 0:20:47,26,19.69,516,112,OFF,0
2/23 0:20:48,26,19.69,512,164,OFF,0
2/23 0:20:49,26,19.69,512,194,OFF,0
2/23 0:20:50,26,19.69,512,187,OFF,0
2/23 0:20:51,26,19.69,516,191,OFF,0
2/23 0:20:52,26,19.69,516,123,OFF,0
