DateTime,Mote,Temp,Mic,RF,AQ,Motion
2/22 20:17:58,26,20.57,509,129,OFF,0
2/22 20:17:59,26,21.15,511,131,OFF,0
2/22 20:18:0,26,21.15,515,188,OFF,0
2/22 20:18:1,26,21.15,512,149,OFF,0
2/22 20:18:2,26,21.15,510,144,OFF,0
2/22 20:18:3,26,21.45,514,141,OFF,0
2/22 20:18:4,26,21.15,521,141,OFF,0
2/22 20:18:5,26,21.15,512,155,OFF,0
2/22 20:18:6,26,21.15,513,134,OFF,0
2/22 20:18:7,26,21.15,511,171,OFF,0
2/22 20:18:8,26,21.15,513,184,OFF,0
2/22 20:18:9,26,20.57,519,145,OFF,0
2/22 20:18:10,26,21.45,513,183,OFF,0
2/22 20:18:11,26,21.45,512,148,OFF,0
2/22 20:18:12,26,20.86,510,134,OFF,0
2/22 20:18:13,26,21.15,515,131,OFF,0
2/22 20:18:14,26,21.15,515,152,OFF,0
2/22 20:18:15,26,21.15,518,141,OFF,0
2/22 20:18:17,26,21.15,515,132,OFF,0
2/22 20:18:18,26,21.15,521,136,OFF,0
2/22 20:18:19,26,21.15,516,238,OFF,0
2/22 20:18:20,26,21.15,513,136,OFF,0
2/22 20:18:21,26,21.15,520,322,OFF,0
2/22 20:18:22,26,21.15,509,318,OFF,0
2/22 20:18:23,26,21.15,513,323,OFF,0
2/22 20:18:24,26,21.15,508,316,OFF,0
2/22 20:18:25,26,20.86,514,149,OFF,0
2/22 20:18:26,26,21.15,515,206,OFF,0
2/22 20:18:27,26,21.15,518,186,OFF,0
2/22 20:18:28,26,21.15,512,140,OFF,0
2/22 20:18:29,26,20.86,511,168,OFF,0
2/22 20:18:30,26,21.15,518,194,OFF,0
2/22 20:18:31,26,21.15,514,179,OFF,0
2/22 20:18:32,26,20.86,516,185,OFF,0
2/22 20:18:33,26,21.15,516,174,OFF,0
2/22 20:18:34,26,21.15,517,134,OFF,0
2/22 20:18:35,26,21.15,513,179,OFF,0
2/22 20:18:36,26,21.15,520,238,OFF,0
2/22 20:18:37,26,21.15,524,187,OFF,0
2/22 20:18:38,26,21.15,522,196,OFF,0
2/22 20:18:39,26,20.86,506,144,OFF,0
2/22 20:18:40,26,21.15,510,133,OFF,0
2/22 20:18:41,26,21.15,517,184,OFF,0
2/22 20:18:42,26,21.15,517,138,OFF,0
2/22 20:18:43,26,21.15,513,142,OFF,0
2/22 20:18:44,26,20.57,517,166,OFF,0
2/22 20:18:45,26,20.86,514,199,OFF,0
2/22 20:18:46,26,20.86,515,137,OFF,0
2/22 20:18:47,26,20.57,521,184,OFF,0
2/22 20:18:48,26,20.86,512,137,OFF,0
2/22 20:18:49,26,21.15,514,163,OFF,0
2/22 20:18:50,26,21.15,511,139,OFF,0
2/22 20:18:51,26,21.15,516,173,OFF,0
2/22 20:18:52,26,20.86,512,147,OFF,0
2/22 20:18:53,26,21.15,520,134,OFF,0
2/22 20:18:54,26,21.15,515,169,OFF,0
2/22 20:18:55,26,21.15,511,127,OFF,0
2/22 20:18:56,26,21.15,508,141,OFF,0
2/22 20:18:57,26,21.15,512,189,OFF,0
2/22 20:18:58,26,21.45,508,185,OFF,0
2/22 20:18:59,26,20.86,507,181,OFF,0
2/22 20:19:0,26,21.15,513,153,OFF,0
2/22 20:19:1,26,21.15,512,138,OFF,0
2/22 20:19:2,26,21.15,511,178,OFF,0
2/22 20:19:3,26,21.15,519,328,OFF,0
2/22 20:19:4,26,21.15,515,327,OFF,0
2/22 20:19:5,26,21.15,515,319,OFF,0
2/22 20:19:6,26,21.15,511,325,OFF,0
2/22 20:19:7,26,21.15,512,136,OFF,0
2/22 20:19:8,26,21.15,523,171,OFF,0
2/22 20:19:9,26,21.15,515,163,OFF,0
2/22 20:19:10,26,21.15,518,175,OFF,0
2/22 20:19:11,26,21.15,512,136,OFF,0
2/22 20:19:12,26,21.15,511,160,OFF,0
2/22 20:19:13,26,20.57,510,140,OFF,0
2/22 20:19:14,26,21.15,509,129,OFF,0
2/22 20:19:15,26,21.15,505,328,OFF,0
2/22 20:19:16,26,21.15,521,329,OFF,0
2/22 20:19:17,26,21.15,514,340,OFF,0
2/22 20:19:18,26,21.15,512,338,OFF,0
2/22 20:19:19,26,20.86,513,329,OFF,0
2/22 20:19:20,26,21.15,518,320,OFF,0
2/22 20:19:21,26,21.15,507,131,OFF,0
2/22 20:19:22,26,21.15,510,133,OFF,0
2/22 20:19:23,26,21.15,512,184,OFF,0
2/22 20:19:24,26,21.15,514,130,OFF,0
2/22 20:19:25,26,20.86,514,174,OFF,0
2/22 20:19:26,26,21.15,514,145,OFF,0
2/22 20:19:27,26,20.86,517,165,OFF,0
2/22 20:19:28,26,20.86,515,143,OFF,0
2/22 20:19:29,26,20.86,509,138,OFF,0
2/22 20:19:30,26,21.15,517,179,OFF,0
2/22 20:19:31,26,21.15,514,140,OFF,0
2/22 20:19:32,26,21.15,509,190,OFF,0
2/22 20:19:33,26,20.57,506,187,OFF,0
2/22 20:19:34,26,21.15,510,141,OFF,0
2/22 20:19:35,26,20.86,508,144,OFF,0
2/22 20:19:36,26,21.15,517,139,OFF,0
2/22 20:19:37,26,21.15,515,171,OFF,0
2/22 20:19:38,26,21.15,518,133,OFF,0
2/22 20:19:39,26,21.15,515,156,OFF,0
2/22 20:19:40,26,21.15,510,195,OFF,0
2/22 20:19:41,26,21.15,517,167,OFF,0
2/22 20:19:42,26,20.86,520,137,OFF,0
2/22 20:19:43,26,21.15,506,132,OFF,0
2/22 20:19:44,26,21.15,514,166,OFF,0
2/22 20:19:45,26,21.15,515,139,OFF,0
2/22 20:19:46,26,21.15,513,166,OFF,0
2/22 20:19:47,26,20.86,519,135,OFF,0
2/22 20:19:48,26,21.45,522,133,OFF,0
2/22 20:19:49,26,21.15,517,199,OFF,0
2/22 20:19:50,26,20.86,515,135,OFF,0
2/22 20:19:51,26,21.45,516,190,OFF,0
2/22 20:19:52,26,21.15,522,161,OFF,0
2/22 20:19:53,26,20.86,519,148,OFF,0
2/22 20:19:54,26,21.15,521,128,OFF,0
2/22 20:19:55,26,21.15,511,130,OFF,0
2/22 20:19:56,26,21.15,510,133,OFF,0
2/22 20:19:57,26,20.57,509,168,OFF,0
2/22 20:19:58,26,21.15,519,141,OFF,0
2/22 20:19:59,26,20.86,514,139,OFF,0
2/22 20:20:0,26,20.57,514,131,OFF,0
2/22 20:20:1,26,20.86,517,157,OFF,0
2/22 20:20:2,26,21.15,516,140,OFF,0
2/22 20:20:3,26,21.15,519,139,OFF,0
2/22 20:20:4,26,20.86,517,148,OFF,0
2/22 20:20:5,26,21.15,516,186,OFF,0
2/22 20:20:6,26,21.15,512,136,OFF,0
2/22 20:20:7,26,21.15,523,174,OFF,0
2/22 20:20:8,26,21.15,518,131,OFF,0
2/22 20:20:9,26,21.15,514,181,OFF,0
2/22 20:20:10,26,20.86,520,174,OFF,0
2/22 20:20:11,26,21.15,507,135,OFF,0
2/22 20:20:12,26,20.86,506,161,OFF,0
2/22 20:20:13,26,21.15,520,139,OFF,0
2/22 20:20:14,26,20.86,512,240,OFF,0
2/22 20:20:15,26,20.86,513,131,OFF,0
2/22 20:20:16,26,21.15,519,138,OFF,0
2/22 20:20:17,26,21.15,520,146,OFF,0
2/22 20:20:18,26,21.15,518,136,OFF,0
2/22 20:20:19,26,21.15,515,167,OFF,0
2/22 20:20:20,26,21.15,514,137,OFF,0
2/22 20:20:21,26,21.15,522,138,OFF,0
2/22 20:20:22,26,21.15,519,196,OFF,0
2/22 20:20:23,26,20.86,520,247,OFF,0
2/22 20:20:24,26,21.15,515,167,OFF,0
2/22 20:20:25,26,20.86,516,138,OFF,0
2/22 20:20:26,26,21.15,523,190,OFF,0
2/22 20:20:27,26,21.15,513,148,OFF,0
2/22 20:20:28,26,20.86,514,136,OFF,0
2/22 20:20:29,26,21.15,512,164,OFF,0
2/22 20:20:30,26,21.15,501,168,OFF,0
2/22 20:20:31,26,21.15,504,126,OFF,0
2/22 20:20:32,26,21.15,508,141,OFF,0
2/22 20:20:33,26,21.15,508,147,OFF,0
2/22 20:20:34,26,21.15,512,189,OFF,0
2/22 20:20:35,26,20.86,510,141,OFF,0
2/22 20:20:36,26,21.15,519,144,OFF,0
2/22 20:20:37,26,20.57,512,165,OFF,0
2/22 20:20:39,26,21.15,510,133,OFF,0
2/22 20:20:40,26,21.15,518,157,OFF,0
2/22 20:20:41,26,20.86,511,145,OFF,0
2/22 20:20:42,26,21.15,518,141,OFF,0
2/22 20:20:43,26,21.15,514,132,OFF,0
2/22 20:20:44,26,21.15,511,126,OFF,0
2/22 20:20:45,26,20.57,517,138,OFF,0
2/22 20:20:46,26,21.15,515,203,OFF,0
2/22 20:20:47,26,20.86,517,151,OFF,0
2/22 20:20:48,26,21.15,513,174,OFF,0
2/22 20:20:49,26,20.86,514,140,OFF,0
2/22 20:20:50,26,21.15,516,151,OFF,0
2/22 20:20:51,26,20.86,514,319,OFF,0
2/22 20:20:52,26,21.15,513,317,OFF,0
2/22 20:20:53,26,20.57,511,317,OFF,0
2/22 20:20:54,26,21.15,518,321,OFF,0
2/22 20:20:55,26,21.15,512,320,OFF,0
2/22 20:20:56,26,20.86,516,147,OFF,0
2/22 20:20:57,26,21.15,515,146,OFF,0
2/22 20:20:58,26,21.15,522,157,OFF,0
2/22 20:20:59,26,20.57,513,172,OFF,0
2/22 20:21:0,26,20.86,514,132,OFF,0
2/22 20:21:1,26,21.15,512,250,OFF,0
2/22 20:21:2,26,21.15,507,184,OFF,0
2/22 20:21:3,26,21.15,511,181,OFF,0
2/22 20:21:4,26,21.15,520,129,OFF,0
2/22 20:21:5,26,20.86,516,145,OFF,0
2/22 20:21:6,26,20.86,514,151,OFF,0
2/22 20:21:7,26,21.15,518,242,OFF,0
2/22 20:21:8,26,21.15,511,163,OFF,0
2/22 20:21:9,26,20.86,510,163,OFF,0
2/22 20:21:10,26,21.15,521,181,OFF,0
2/22 20:21:11,26,21.15,512,133,OFF,0
2/22 20:21:12,26,21.15,510,182,OFF,0
2/22 20:21:13,26,21.15,512,158,OFF,0
2/22 20:21:14,26,20.86,521,135,OFF,0
2/22 20:21:15,26,20.86,516,152,OFF,0
2/22 20:21:16,26,21.15,507,138,OFF,0
2/22 20:21:17,26,21.15,511,189,OFF,0
2/22 20:21:18,26,20.86,518,249,OFF,0
2/22 20:21:19,26,21.15,516,175,OFF,0
2/22 20:21:20,26,20.86,512,140,OFF,0
2/22 20:21:21,26,21.15,517,137,OFF,0
2/22 20:21:22,26,20.86,515,162,OFF,0
2/22 20:21:23,26,20.86,508,131,OFF,0
2/22 20:21:24,26,20.86,512,126,OFF,0
2/22 20:21:25,26,21.15,512,158,OFF,0
2/22 20:21:26,26,20.86,523,143,OFF,0
2/22 20:21:27,26,21.15,513,185,OFF,0
2/22 20:21:28,26,20.86,516,233,OFF,0
2/22 20:21:29,26,20.86,522,142,OFF,0
2/22 20:21:30,26,20.86,512,147,OFF,0
2/22 20:21:31,26,21.15,513,317,OFF,0
2/22 20:21:32,26,21.15,504,320,OFF,0
2/22 20:21:33,26,21.15,517,312,OFF,0
2/22 20:21:34,26,21.15,509,323,OFF,0
2/22 20:21:35,26,21.15,511,324,OFF,0
2/22 20:21:36,26,20.86,517,143,OFF,0
2/22 20:21:37,26,20.86,514,145,OFF,0
2/22 20:21:38,26,20.86,513,196,OFF,0
2/22 20:21:39,26,20.86,514,230,OFF,0
2/22 20:21:40,26,21.15,514,134,OFF,0
2/22 20:21:41,26,21.15,520,257,OFF,0
2/22 20:21:42,26,21.15,512,137,OFF,0
2/22 20:21:43,26,21.15,511,188,OFF,0
2/22 20:21:44,26,21.15,508,252,OFF,0
2/22 20:21:45,26,20.86,513,189,OFF,0
2/22 20:21:46,26,20.86,518,147,OFF,0
2/22 20:21:47,26,21.15,520,154,OFF,0
2/22 20:21:48,26,21.15,510,138,OFF,0
2/22 20:21:49,26,21.15,511,130,OFF,0
2/22 20:21:50,26,21.15,518,125,OFF,0
2/22 20:21:51,26,20.86,515,145,OFF,0
2/22 20:21:52,26,21.15,516,139,OFF,0
2/22 20:21:53,26,20.86,512,158,OFF,0
2/22 20:21:54,26,21.15,508,134,OFF,0
2/22 20:21:55,26,21.15,514,225,OFF,0
2/22 20:21:56,26,21.15,515,178,OFF,0
2/22 20:21:57,26,21.15,521,249,OFF,0
2/22 20:21:58,26,20.86,514,324,OFF,0
2/22 20:21:59,26,20.86,513,324,OFF,0
2/22 20:22:0,26,20.57,509,325,OFF,0
2/22 20:22:1,26,21.15,514,322,OFF,0
2/22 20:22:2,26,21.15,519,322,OFF,0
2/22 20:22:3,26,21.15,526,136,OFF,0
2/22 20:22:4,26,20.27,524,139,OFF,0
2/22 20:22:5,26,21.15,517,223,OFF,0
2/22 20:22:6,26,20.86,522,212,OFF,0
2/22 20:22:7,26,21.15,518,195,OFF,0
2/22 20:22:8,26,20.86,525,166,OFF,0
2/22 20:22:9,26,21.15,510,167,OFF,0
2/22 20:22:10,26,20.86,505,134,OFF,0
2/22 20:22:11,26,20.86,504,163,OFF,0
2/22 20:22:12,26,21.74,515,155,OFF,0
2/22 20:22:13,26,20.57,513,140,OFF,0
2/22 20:22:14,26,21.15,517,125,OFF,0
2/22 20:22:15,26,21.15,523,326,OFF,0
2/22 20:22:16,26,21.15,515,324,OFF,0
2/22 20:22:17,26,20.86,510,324,OFF,0
2/22 20:22:18,26,21.15,513,319,OFF,0
2/22 20:22:19,26,21.15,515,318,OFF,0
