DateTime,Mote,Temp,Mic,RF,AQ,Motion
2/23 7:22:30,26,17.34,517,378,OFF,0
2/23 7:22:31,26,17.64,512,387,OFF,0
2/23 7:22:32,26,17.64,511,130,OFF,0
2/23 7:22:33,26,17.64,511,182,OFF,0
2/23 7:22:34,26,17.64,513,207,OFF,0
2/23 7:22:35,26,17.05,510,176,OFF,0
2/23 7:22:36,26,17.64,510,125,OFF,0
2/23 7:22:37,26,17.64,517,124,OFF,0
2/23 7:22:38,26,17.64,516,123,OFF,0
2/23 7:22:39,26,17.64,510,151,OFF,0
2/23 7:22:40,26,17.64,519,125,OFF,0
2/23 7:22:41,26,17.64,512,124,OFF,0
2/23 7:22:42,26,17.64,515,191,OFF,0
2/23 7:22:43,26,17.64,516,129,OFF,0
2/23 7:22:44,26,17.93,517,122,OFF,0
2/23 7:22:45,26,17.05,515,189,OFF,0
2/23 7:22:46,26,17.64,516,120,OFF,0
2/23 7:22:47,26,17.64,517,122,OFF,0
2/23 7:22:48,26,17.05,514,123,OFF,0
2/23 7:22:49,26,17.64,513,119,OFF,0
2/23 7:22:50,26,17.64,516,180,OFF,0
2/23 7:22:51,26,17.34,515,120,OFF,0
2/23 7:22:52,26,17.64,512,172,OFF,0
2/23 7:22:53,26,17.64,516,163,OFF,0
2/23 7:22:54,26,17.64,515,125,OFF,0
2/23 7:22:55,26,17.34,508,123,OFF,0
2/23 7:22:56,26,17.64,515,113,OFF,0
2/23 7:22:57,26,17.64,512,123,OFF,0
2/23 7:22:58,26,17.64,517,116,OFF,0
2/23 7:22:59,26,17.64,511,129,OFF,0
2/23 7:23:0,26,17.64,517,133,OFF,0
2/23 7:23:1,26,17.64,513,121,OFF,0
2/23 7:23:2,26,18.52,514,186,OFF,0
2/23 7:23:3,26,17.64,512,133,OFF,0
2/23 7:23:4,26,17.64,511,122,OFF,0
2/23 7:23:5,26,17.64,520,124,OFF,0
2/23 7:23:6,26,17.64,519,124,OFF,0
2/23 7:23:7,26,17.64,516,182,OFF,0
2/23 7:23:8,26,17.64,515,168,OFF,0
2/23 7:23:9,26,17.64,515,132,OFF,0
2/23 7:23:10,26,17.64,512,119,OFF,0
2/23 7:23:11,26,17.64,516,124,OFF,0
2/23 7:23:12,26,17.93,511,119,OFF,0
2/23 7:23:13,26,17.34,514,119,OFF,0
2/23 7:23:14,26,17.64,512,166,OFF,0
2/23 7:23:15,26,17.64,517,168,OFF,0
2/23 7:23:16,26,17.64,513,127,OFF,0
2/23 7:23:17,26,17.34,512,180,OFF,0
2/23 7:23:18,26,17.64,516,135,OFF,0
2/23 7:23:19,26,17.64,517,384,OFF,0
2/23 7:23:20,26,17.64,510,380,OFF,0
2/23 7:23:21,26,17.64,515,384,OFF,0
2/23 7:23:22,26,17.64,516,168,OFF,0
2/23 7:23:23,26,17.64,513,150,OFF,0
2/23 7:23:24,26,17.64,514,113,OFF,0
2/23 7:23:25,26,17.64,513,134,OFF,0
2/23 7:23:26,26,17.64,516,127,OFF,0
2/23 7:23:28,26,17.64,514,139,OFF,0
2/23 7:23:29,26,17.34,513,116,OFF,0
2/23 7:23:30,26,17.64,511,109,OFF,0
2/23 7:23:31,26,17.34,518,173,OFF,0
2/23 7:23:32,26,17.64,517,167,OFF,0
2/23 7:23:33,26,17.64,512,196,OFF,0
2/23 7:23:34,26,17.34,518,178,OFF,0
2/23 7:23:35,26,17.64,514,184,OFF,0
2/23 7:23:36,26,17.64,514,156,OFF,0
2/23 7:23:37,26,17.64,515,131,OFF,0
2/23 7:23:38,26,17.64,513,149,OFF,0
2/23 7:23:39,26,17.64,514,195,OFF,0
2/23 7:23:40,26,17.93,513,143,OFF,0
2/23 7:23:41,26,17.64,516,158,OFF,0
2/23 7:23:42,26,17.64,514,136,OFF,0
2/23 7:23:43,26,17.64,513,119,OFF,0
2/23 7:23:44,26,17.64,513,182,OFF,0
2/23 7:23:45,26,17.64,512,138,OFF,0
2/23 7:23:46,26,17.64,511,137,OFF,0
2/23 7:23:47,26,17.64,514,384,OFF,0
2/23 7:23:48,26,17.64,514,381,OFF,0
2/23 7:23:49,26,17.64,510,384,OFF,0
2/23 7:23:50,26,17.64,511,382,OFF,0
2/23 7:23:51,26,17.64,518,381,OFF,0
2/23 7:23:52,26,17.93,513,148,OFF,0
2/23 7:23:53,26,17.64,517,163,OFF,0
2/23 7:23:54,26,17.64,514,123,OFF,0
2/23 7:23:55,26,17.34,517,194,OFF,0
2/23 7:23:56,26,17.34,517,124,OFF,0
2/23 7:23:57,26,17.64,512,168,OFF,0
2/23 7:23:58,26,17.64,517,149,OFF,0
2/23 7:23:59,26,17.64,513,118,OFF,0
2/23 7:24:0,26,17.64,516,122,OFF,0
2/23 7:24:1,26,17.05,513,163,OFF,0
2/23 7:24:2,26,17.64,505,184,OFF,0
2/23 7:24:2,26,17.64,505,184,OFF,0
2/23 7:24:4,26,17.34,512,174,OFF,0
2/23 7:24:5,26,17.64,516,119,OFF,0
2/23 7:24:6,26,17.64,509,148,OFF,0
2/23 7:24:7,26,17.64,519,188,OFF,0
2/23 7:24:8,26,17.64,516,127,OFF,0
2/23 7:24:9,26,17.64,515,171,OFF,0
2/23 7:24:10,26,17.64,515,381,OFF,0
2/23 7:24:11,26,17.64,518,376,OFF,0
2/23 7:24:12,26,17.34,513,378,OFF,0
2/23 7:24:13,26,17.64,517,376,OFF,0
2/23 7:24:14,26,17.64,509,197,OFF,0
2/23 7:24:15,26,17.64,513,380,OFF,0
2/23 7:24:16,26,17.64,513,376,OFF,0
2/23 7:24:17,26,17.64,513,379,OFF,0
2/23 7:24:18,26,17.64,511,380,OFF,0
2/23 7:24:19,26,17.93,514,382,OFF,0
2/23 7:24:20,26,17.64,512,378,OFF,0
2/23 7:24:21,26,17.64,513,386,OFF,0
2/23 7:24:22,26,17.64,518,378,OFF,0
2/23 7:24:23,26,17.64,513,381,OFF,0
2/23 7:24:24,26,17.34,515,382,OFF,0
2/23 7:24:25,26,17.64,511,373,OFF,0
2/23 7:24:26,26,17.34,518,125,OFF,0
2/23 7:24:27,26,17.64,513,154,OFF,0
2/23 7:24:28,26,17.64,513,124,OFF,0
2/23 7:24:29,26,17.34,514,119,OFF,0
2/23 7:24:30,26,17.64,514,198,OFF,0
2/23 7:24:31,26,17.64,513,125,OFF,0
2/23 7:24:32,26,17.64,516,174,OFF,0
2/23 7:24:33,26,17.64,513,180,OFF,0
2/23 7:24:34,26,17.64,510,120,OFF,0
2/23 7:24:35,26,17.64,515,185,OFF,0
2/23 7:24:36,26,17.64,513,128,OFF,0
2/23 7:24:37,26,17.64,515,213,OFF,0
2/23 7:24:38,26,17.34,514,190,OFF,0
2/23 7:24:39,26,17.64,516,145,OFF,0
2/23 7:24:40,26,17.64,514,226,OFF,0
2/23 7:24:41,26,17.64,514,229,OFF,0
2/23 7:24:42,26,17.64,514,195,OFF,0
2/23 7:24:43,26,17.34,514,219,OFF,0
2/23 7:24:44,26,17.64,512,164,OFF,0
2/23 7:24:45,26,17.64,516,126,OFF,0
2/23 7:24:46,26,17.64,510,189,OFF,0
2/23 7:24:47,26,17.34,515,199,OFF,0
2/23 7:24:48,26,17.64,516,170,OFF,0
2/23 7:24:49,26,17.64,518,121,OFF,0
2/23 7:24:50,26,17.64,511,147,OFF,0
2/23 7:24:51,26,17.64,515,125,OFF,0
2/23 7:24:52,26,17.64,514,173,OFF,0
2/23 7:24:53,26,17.64,514,183,OFF,0
2/23 7:24:54,26,17.34,513,254,OFF,0
2/23 7:24:55,26,17.64,517,382,OFF,0
2/23 7:24:56,26,17.64,517,376,OFF,0
2/23 7:24:57,26,17.64,515,378,OFF,0
2/23 7:24:58,26,17.64,516,149,OFF,0
2/23 7:24:59,26,17.64,509,149,OFF,0
2/23 7:25:0,26,17.64,512,172,OFF,0
2/23 7:25:1,26,17.64,514,122,OFF,0
2/23 7:25:2,26,17.64,512,251,OFF,0
2/23 7:25:3,26,17.64,513,235,OFF,0
2/23 7:25:4,26,17.64,513,250,OFF,0
2/23 7:25:5,26,17.64,513,233,OFF,0
2/23 7:25:6,26,17.64,511,245,OFF,0
2/23 7:25:7,26,17.64,516,171,OFF,0
2/23 7:25:8,26,17.64,522,122,OFF,0
2/23 7:25:9,26,17.93,517,122,OFF,0
2/23 7:25:10,26,17.64,516,159,OFF,0
2/23 7:25:11,26,17.64,518,174,OFF,0
2/23 7:25:12,26,17.64,515,125,OFF,0
2/23 7:25:13,26,17.64,513,173,OFF,0
2/23 7:25:14,26,17.64,516,269,OFF,0
2/23 7:25:15,26,17.64,517,125,OFF,0
2/23 7:25:16,26,17.64,515,124,OFF,0
2/23 7:25:17,26,17.05,513,126,OFF,0
2/23 7:25:18,26,17.64,513,123,OFF,0
2/23 7:25:19,26,17.64,515,119,OFF,0
2/23 7:25:20,26,17.34,517,188,OFF,0
2/23 7:25:21,26,17.64,515,150,OFF,0
2/23 7:25:22,26,17.64,514,154,OFF,0
2/23 7:25:23,26,17.64,513,167,OFF,0
2/23 7:25:24,26,17.64,515,127,OFF,0
2/23 7:25:25,26,17.64,511,151,OFF,0
2/23 7:25:26,26,17.64,512,121,OFF,0
2/23 7:25:27,26,17.64,510,116,OFF,0
2/23 7:25:28,26,17.64,515,111,OFF,0
2/23 7:25:29,26,17.93,515,182,OFF,0
2/23 7:25:30,26,17.64,509,116,OFF,0
2/23 7:25:31,26,17.64,516,237,OFF,0
2/23 7:25:32,26,17.64,517,201,OFF,0
2/23 7:25:33,26,17.64,511,121,OFF,0
2/23 7:25:34,26,18.22,513,142,OFF,0
2/23 7:25:35,26,17.64,510,181,OFF,0
2/23 7:25:36,26,17.64,514,178,OFF,0
2/23 7:25:37,26,17.64,515,232,OFF,0
2/23 7:25:38,26,17.34,515,179,OFF,0
2/23 7:25:39,26,17.34,515,156,OFF,0
2/23 7:25:41,26,17.64,514,130,OFF,0
2/23 7:25:42,26,17.64,511,124,OFF,0
2/23 7:25:43,26,17.64,515,134,OFF,0
2/23 7:25:44,26,17.64,516,155,OFF,0
2/23 7:25:45,26,17.05,514,127,OFF,0
2/23 7:25:46,26,17.64,520,243,OFF,0
2/23 7:25:47,26,17.64,510,121,OFF,0
2/23 7:25:48,26,17.64,518,377,OFF,0
2/23 7:25:49,26,17.64,512,378,OFF,0
2/23 7:25:50,26,17.64,515,377,OFF,0
2/23 7:25:51,26,17.64,513,374,OFF,0
2/23 7:25:52,26,17.34,514,378,OFF,0
2/23 7:25:53,26,17.64,513,378,OFF,0
2/23 7:25:54,26,17.05,511,377,OFF,0
2/23 7:25:55,26,17.64,511,142,OFF,0
2/23 7:25:56,26,17.64,512,368,OFF,0
2/23 7:25:57,26,17.64,513,378,OFF,0
2/23 7:25:58,26,17.64,517,376,OFF,0
2/23 7:25:59,26,17.05,512,374,OFF,0
2/23 7:26:0,26,17.64,516,381,OFF,0
2/23 7:26:1,26,17.64,513,381,OFF,0
2/23 7:26:2,26,17.34,509,379,OFF,0
2/23 7:26:3,26,17.34,515,380,OFF,0
2/23 7:26:4,26,17.64,512,376,OFF,0
2/23 7:26:5,26,17.64,513,121,OFF,0
2/23 7:26:6,26,17.64,515,218,OFF,0
2/23 7:26:7,26,17.64,516,124,OFF,0
2/23 7:26:8,26,17.64,514,139,OFF,0
2/23 7:26:9,26,17.64,516,121,OFF,0
2/23 7:26:10,26,17.64,514,122,OFF,0
2/23 7:26:11,26,17.64,517,146,OFF,0
2/23 7:26:12,26,17.64,516,124,OFF,0
2/23 7:26:13,26,17.64,513,126,OFF,0
2/23 7:26:14,26,17.05,512,246,OFF,0
2/23 7:26:15,26,17.64,513,240,OFF,0
2/23 7:26:16,26,17.64,517,268,OFF,0
2/23 7:26:17,26,17.64,512,133,OFF,0
2/23 7:26:18,26,17.64,517,181,OFF,0
2/23 7:26:19,26,17.64,516,224,OFF,0
2/23 7:26:20,26,17.64,510,215,OFF,0
2/23 7:26:21,26,17.64,515,249,OFF,0
2/23 7:26:22,26,17.64,515,245,OFF,0
2/23 7:26:23,26,17.64,518,149,OFF,0
2/23 7:26:24,26,17.64,508,247,OFF,0
2/23 7:26:25,26,17.64,516,243,OFF,0
2/23 7:26:26,26,17.64,512,256,OFF,0
2/23 7:26:27,26,17.64,517,252,OFF,0
2/23 7:26:28,26,17.93,515,130,OFF,0
2/23 7:26:29,26,17.64,519,182,OFF,0
2/23 7:26:30,26,17.64,511,129,OFF,0
2/23 7:26:31,26,17.64,513,124,OFF,0
2/23 7:26:32,26,17.64,513,185,OFF,0
2/23 7:26:33,26,17.05,515,174,OFF,0
2/23 7:26:34,26,17.64,513,125,OFF,0
2/23 7:26:35,26,17.64,511,196,OFF,0
2/23 7:26:36,26,17.64,511,209,OFF,0
2/23 7:26:37,26,17.93,519,188,OFF,0
2/23 7:26:38,26,17.64,516,160,OFF,0
2/23 7:26:39,26,17.64,516,124,OFF,0
2/23 7:26:40,26,17.64,517,130,OFF,0
2/23 7:26:41,26,17.64,516,125,OFF,0
2/23 7:26:42,26,17.34,511,190,OFF,0
2/23 7:26:43,26,17.64,509,120,OFF,0
2/23 7:26:44,26,17.64,514,130,OFF,0
2/23 7:26:45,26,17.34,512,180,OFF,0
2/23 7:26:46,26,17.64,513,168,OFF,0
2/23 7:26:47,26,17.05,512,182,OFF,0
2/23 7:26:48,26,17.64,519,181,OFF,0
2/23 7:26:49,26,17.64,511,140,OFF,0
2/23 7:26:50,26,17.34,512,186,OFF,0
2/23 7:26:51,26,17.34,519,127,OFF,0
2/23 7:26:52,26,17.64,518,191,OFF,0
2/23 7:26:53,26,17.64,518,132,OFF,0
2/23 7:26:54,26,17.64,515,207,OFF,0
2/23 7:26:55,26,17.34,515,201,OFF,0
2/23 7:26:56,26,17.34,509,127,OFF,0
2/23 7:26:57,26,17.64,515,124,OFF,0
2/23 7:26:58,26,17.64,514,159,OFF,0
2/23 7:26:59,26,17.64,517,132,OFF,0
2/23 7:27:0,26,17.64,513,205,OFF,0
2/23 7:27:1,26,17.64,513,131,OFF,0
2/23 7:27:2,26,17.34,513,235,OFF,0
2/23 7:27:3,26,17.93,517,245,OFF,0
2/23 7:27:4,26,17.64,512,242,OFF,0
2/23 7:27:5,26,17.34,513,247,OFF,0
2/23 7:27:6,26,17.64,515,134,OFF,0
2/23 7:27:7,26,17.64,516,131,OFF,0
2/23 7:27:8,26,17.34,515,203,OFF,0
2/23 7:27:9,26,17.93,516,125,OFF,0
2/23 7:27:10,26,17.34,512,148,OFF,0
2/23 7:27:11,26,17.64,512,236,OFF,0
2/23 7:27:12,26,17.34,516,242,OFF,0
2/23 7:27:13,26,17.64,511,240,OFF,0
2/23 7:27:14,26,17.64,518,271,OFF,0
2/23 7:27:15,26,17.34,512,241,OFF,0
2/23 7:27:16,26,17.05,516,229,OFF,0
2/23 7:27:17,26,17.34,514,242,OFF,0
2/23 7:27:18,26,17.93,514,245,OFF,0
2/23 7:27:19,26,17.64,517,238,OFF,0
2/23 7:27:20,26,17.64,511,233,OFF,0
2/23 7:27:21,26,17.05,516,122,OFF,0
2/23 7:27:22,26,17.05,510,141,OFF,0
2/23 7:27:23,26,17.34,513,181,OFF,0
2/23 7:27:24,26,17.64,513,139,OFF,0
2/23 7:27:25,26,17.64,510,178,OFF,0
2/23 7:27:26,26,17.64,517,173,OFF,0
2/23 7:27:27,26,17.64,515,123,OFF,0
2/23 7:27:28,26,17.64,512,166,OFF,0
2/23 7:27:29,26,17.64,513,182,OFF,0
2/23 7:27:30,26,17.93,510,129,OFF,0
2/23 7:27:31,26,17.64,513,259,OFF,0
2/23 7:27:32,26,17.64,512,249,OFF,0
2/23 7:27:33,26,17.64,516,245,OFF,0
2/23 7:27:34,26,17.64,513,257,OFF,0
2/23 7:27:35,26,17.64,517,234,OFF,0
2/23 7:27:36,26,17.93,510,252,OFF,0
2/23 7:27:37,26,17.64,512,245,OFF,0
2/23 7:27:38,26,17.34,515,126,OFF,0
2/23 7:27:39,26,17.64,510,126,OFF,0
2/23 7:27:40,26,17.34,514,133,OFF,0
2/23 7:27:41,26,17.34,508,179,OFF,0
2/23 7:27:42,26,17.64,511,175,OFF,0
2/23 7:27:43,26,17.64,512,268,OFF,0
2/23 7:27:44,26,17.05,513,243,OFF,0
2/23 7:27:45,26,17.64,516,254,OFF,0
2/23 7:27:46,26,17.64,517,240,OFF,0
2/23 7:27:47,26,17.64,516,275,OFF,0
2/23 7:27:48,26,17.64,517,264,OFF,0
2/23 7:27:49,26,17.34,519,124,OFF,0
2/23 7:27:50,26,17.34,514,148,OFF,0
2/23 7:27:51,26,17.34,518,127,OFF,0
